frequency_mhz,block_started_at,configuration,dwell_us,round,control,phase_and_closure_pass,first_phase_pass_ms,maximum_observable_phase_bias_deg,maximum_observable_gain_error_db,error,analysis_json
5811.0,2026-09-08T22:45:32.349619+00:00,D,100,3,False,False,50.2511986238171,4.331050602176473,2.25634629457159,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T224532349585Z-r3-D-100us-20260908T225344.059325Z/independent-analysis.json
2475.0,2026-09-08T22:58:55.806988+00:00,A,1000,1,False,False,6.281448325931845,114.21597074823572,22.370260209561856,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r1-A-1000us-20260908T230022.539257Z/independent-analysis.json
2475.0,2026-09-08T22:58:55.806988+00:00,A,50,1,False,False,,165.88308994080654,25.138738727596742,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r1-A-50us-20260908T230038.248996Z/independent-analysis.json
2475.0,2026-09-08T22:58:55.806988+00:00,A,25,1,False,False,,172.52207218265718,37.78812372245172,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r1-A-25us-20260908T230053.355939Z/independent-analysis.json
2475.0,2026-09-08T22:58:55.806988+00:00,A,200,1,True,False,,148.02809497279267,46.05199715498941,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r1-A-200us-control-20260908T230108.416593Z/independent-analysis.json
2475.0,2026-09-08T22:58:55.806988+00:00,A,200,1,False,False,,165.3739079075697,34.572896760513515,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r1-A-200us-20260908T230117.728222Z/independent-analysis.json
2475.0,2026-09-08T22:58:55.806988+00:00,A,100,1,False,False,200.0976012823551,172.104184517542,37.03649107351176,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r1-A-100us-20260908T230132.690307Z/independent-analysis.json
2475.0,2026-09-08T22:58:55.806988+00:00,A,25,2,False,False,,135.8013508170293,13.134241904879369,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r2-A-25us-20260908T230147.767604Z/independent-analysis.json
2475.0,2026-09-08T22:58:55.806988+00:00,A,50,2,False,False,1.1962902960649155,1.10349577011336,1.050095017233466,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r2-A-50us-20260908T230202.643731Z/independent-analysis.json
2475.0,2026-09-08T22:58:55.806988+00:00,A,200,2,True,True,1.4954486845695958,1.1273807681426882,0.24628874338952167,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r2-A-200us-control-20260908T230217.565293Z/independent-analysis.json
2475.0,2026-09-08T22:58:55.806988+00:00,A,100,2,False,False,,144.30115393360117,34.83086790737311,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r2-A-100us-20260908T230232.453860Z/independent-analysis.json
2475.0,2026-09-08T22:58:55.806988+00:00,A,1000,2,False,False,12.5620863958933,118.33257026294393,22.470383176611666,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r2-A-1000us-20260908T230247.590759Z/independent-analysis.json
