run_json,frequency_mhz,port,gain_db,amplitude,phase_rms_10ms_deg,coherence
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-ref-before-A-ANT2-20260908T225909.141239Z/run.json,2475.0,ANT2,40,0.012102526873618924,0.7313848829229531,0.41931951632073006
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-ref-before-A-ANT4-20260908T225923.219287Z/run.json,2475.0,ANT4,40,0.009660652810881373,1.029449382043966,0.32241011986199497
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-ref-before-A-ANT5-20260908T230003.497357Z/run.json,2475.0,ANT5,40,0.00274050525883358,3.164161241396106,0.10308233226574072
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-ref-before-A-ANT7-20260908T225950.700771Z/run.json,2475.0,ANT7,40,0.0076095094268823354,1.0720174259721251,0.2701942776203909
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-ref-before-A-ANT8-20260908T225936.890663Z/run.json,2475.0,ANT8,40,0.02123856289525391,0.6780778786016274,0.42687388797495834
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T231415311061Z-ref-after-A-ANT1-20260908T232537.304312Z/run.json,2475.0,ANT1,40,0.027865096926005944,0.7628690660415217,0.4778149771815845
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T231415311061Z-ref-after-A-ANT2-20260908T232519.922013Z/run.json,2475.0,ANT2,40,0.012174971750415164,0.6461200564934247,0.40097937513259585
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T231415311061Z-ref-after-A-ANT4-20260908T232507.295558Z/run.json,2475.0,ANT4,40,0.009884869529699672,0.9153547179945387,0.3353761008026503
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T231415311061Z-ref-after-A-ANT5-20260908T232428.305486Z/run.json,2475.0,ANT5,40,0.0026176439980700535,3.6145926145801517,0.0970287430876518
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T231415311061Z-ref-after-A-ANT7-20260908T232440.984886Z/run.json,2475.0,ANT7,40,0.007684380223689321,1.029497461704193,0.2828074132092643
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T231415311061Z-ref-after-A-ANT8-20260908T232453.974685Z/run.json,2475.0,ANT8,40,0.02215595306973093,1.201423244758959,0.4392019433163233
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T231415311061Z-ref-after-B-ANT1-20260908T232414.922306Z/run.json,2475.0,ANT1,40,0.02761250025470095,0.6377049053379805,0.510158968756761
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T231415311061Z-ref-after-B-ANT2-20260908T232401.447053Z/run.json,2475.0,ANT2,40,0.012166768161522267,0.8010693180397698,0.37152951393209876
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T231415311061Z-ref-after-B-ANT4-20260908T232346.871703Z/run.json,2475.0,ANT4,40,0.009877301492617684,0.9527577193442572,0.30826639101809733
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T231415311061Z-ref-after-B-ANT5-20260908T232304.364638Z/run.json,2475.0,ANT5,40,0.002603052438717468,3.129132983267132,0.09291317231379573
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T231415311061Z-ref-after-B-ANT7-20260908T232318.317009Z/run.json,2475.0,ANT7,40,0.007650402509417666,1.2942877248101112,0.24205856989766836
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T231415311061Z-ref-after-B-ANT8-20260908T232332.779652Z/run.json,2475.0,ANT8,40,0.02129115213131036,0.9584790568099901,0.4006983642050906
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T231415311061Z-ref-before-A-ANT1-20260908T231415.578026Z/run.json,2475.0,ANT1,40,0.02853130156653297,0.5944905417111596,0.5193170497426263
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T231415311061Z-ref-before-A-ANT2-20260908T231428.756741Z/run.json,2475.0,ANT2,40,0.012087808961013052,0.6911702011693978,0.42284117852139785
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T231415311061Z-ref-before-A-ANT4-20260908T231441.862839Z/run.json,2475.0,ANT4,40,0.009894329598931393,0.831755470434661,0.3445149715873957
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T231415311061Z-ref-before-A-ANT5-20260908T231520.971436Z/run.json,2475.0,ANT5,40,0.0027078443568600203,3.2619154968360284,0.10330513707801595
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T231415311061Z-ref-before-A-ANT7-20260908T231507.836806Z/run.json,2475.0,ANT7,40,0.0077777786286342175,1.0868265693104173,0.28935086272451394
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T231415311061Z-ref-before-A-ANT8-20260908T231454.566927Z/run.json,2475.0,ANT8,40,0.02051857869202824,0.6499614159382588,0.5181241116138787
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T231415311061Z-ref-before-B-ANT1-20260908T231545.676632Z/run.json,2475.0,ANT1,40,0.02990301179276805,0.6609856115745772,0.5187558927518692
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T231415311061Z-ref-before-B-ANT2-20260908T231609.495621Z/run.json,2475.0,ANT2,40,0.012769263344630279,0.7044060869946127,0.3996923162098354
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T231415311061Z-ref-before-B-ANT4-20260908T231624.257903Z/run.json,2475.0,ANT4,40,0.009735674429509707,0.8635465760986807,0.3240475792538322
