frequency_hz,tx_port,status,phase_10deg_wall_latency_ms,full_bearing_deg,full_bearing_valid,full_bearing_residual_phase_rms_deg,nominal_51mm_bearing_deg,nominal_51mm_valid,error,run_json,run_sha256
5764000000.0,TX1,analyzed,95.616,264.25,False,59.25102023303466,264.5,False,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5764000000-tx1-20260911T223405.385453Z/run.json,e9684c882c23988c7cc89c8a53502456106d713618d93a45d30e36b0c4af77ad
5764000000.0,TX2,analyzed,47.808,160.75,True,26.6051167927238,161.0,True,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5764000000-tx2-20260911T223415.743751Z/run.json,f7a4739c50889a8b6823f1947bae515d4a95685cd9d254903835e809850b9a28
5765000000.0,TX1,analyzed,95.616,264.5,False,59.36043192474754,264.75,False,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5765000000-tx1-20260911T223426.680274Z/run.json,8a24e1502a19d7ba2951dec4cba613ad9fbf744fe30e0e5b5804c47e2d8adf46
5765000000.0,TX2,analyzed,95.616,160.5,True,26.63110994865672,160.75,True,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5765000000-tx2-20260911T223437.730237Z/run.json,963aa423dd1cec06fb208595bd4db30a8e14bb50eac36f8124816e5398321e1c
5766000000.0,TX1,analyzed,47.808,264.75,False,59.037935786679114,264.75,False,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5766000000-tx1-20260911T223449.030743Z/run.json,ba578a67f93e732ef82dcef71cd8328057250bcc514767fcfd0cd8b2d443620b
5766000000.0,TX2,analyzed,191.232,159.0,True,23.89067344975315,159.25,True,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5766000000-tx2-20260911T223459.507323Z/run.json,2f20bf300bafb9e571e98bcde835e50f66977ef546e482a4f83fee10b5b7339d
5767000000.0,TX1,analyzed,191.232,263.5,False,62.08683348577711,263.75,False,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5767000000-tx1-20260911T223510.032565Z/run.json,961224e02c6b87bd93c7fabbd65ffe4b076052f164d9e0ad25ab8671dbc9c1a5
5767000000.0,TX2,analyzed,95.616,160.0,True,25.966481678772514,160.25,True,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5767000000-tx2-20260911T223520.518516Z/run.json,108e69d1c4274e17d88d6399d3e095e381c805e71979571510d44f8cee028551
5768000000.0,TX1,analyzed,47.808,263.75,False,62.84397411274584,264.0,False,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5768000000-tx1-20260911T223530.342640Z/run.json,0b973e8d138e220ff0e1494b432857c1c282b6dec5a1f434e8645d6d4bb22f5a
5768000000.0,TX2,analyzed,95.616,159.5,True,25.125030973754022,159.5,True,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5768000000-tx2-20260911T223541.322069Z/run.json,37de0e923d90c1ed71cf3420c3377f4fb1458fc4b4b8ed9709a620a9f06ed744
